"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2023","75.70","79.12","80.61","72.25","332.02K","-5.50%"
"01/01/2023","80.11","80.57","82.66","72.47","189.32K","-0.45%"
"12/01/2022","80.47","80.56","83.33","70.11","","-0.11%"
"11/01/2022","80.56","86.17","93.74","73.61","5.68M","-6.90%"
"10/01/2022","86.53","81.02","93.64","80.87","5.33M","8.86%"
"09/01/2022","79.49","88.83","90.39","76.25","5.81M","-11.23%"
"08/01/2022","89.55","98.46","98.65","85.73","6.61M","-9.20%"
"07/01/2022","98.62","106.01","111.45","90.56","6.16M","-6.75%"
"06/01/2022","105.76","115.40","123.68","101.53","6.14M","-7.77%"
"05/01/2022","114.67","104.00","119.98","98.20","5.32M","9.53%"
"04/01/2022","104.69","101.23","109.81","92.93","5.39M","4.40%"
"03/01/2022","100.28","96.09","130.50","93.53","8.83M","4.76%"
"02/01/2022","95.72","88.15","100.54","86.55","8.21M","8.59%"
"01/01/2022","88.15","75.69","88.84","74.27","7.52M","17.21%"
"12/01/2021","75.21","67.01","77.44","62.43","7.40M","13.64%"
"11/01/2021","66.18","83.36","84.97","64.43","9.44M","-20.81%"
"10/01/2021","83.57","75.12","85.41","74.23","9.22M","11.38%"
"09/01/2021","75.03","68.55","76.67","67.12","7.75M","9.53%"
"08/01/2021","68.50","73.91","73.95","61.74","7.93M","-7.37%"
"07/01/2021","73.95","73.50","76.98","65.21","8.11M","0.65%"
"06/01/2021","73.47","66.68","74.45","66.41","7.79M","10.78%"
"05/01/2021","66.32","63.64","67.52","61.56","7.51M","4.31%"
"04/01/2021","63.58","59.49","65.47","57.63","7.39M","7.47%"
"03/01/2021","59.16","61.95","67.98","57.25","9.79M","-3.80%"
"02/01/2021","61.50","51.99","63.81","51.64","7.60M","17.82%"
"01/01/2021","52.20","48.40","53.93","47.18","7.21M","7.58%"
"12/01/2020","48.52","45.08","49.28","43.92","6.21M","7.01%"
"11/01/2020","45.34","35.24","46.26","33.64","7.03M","26.68%"
"10/01/2020","35.79","39.90","41.70","34.92","7.35M","-11.01%"
"09/01/2020","40.22","42.83","43.43","36.13","6.75M","-5.61%"
"08/01/2020","42.61","40.39","43.78","39.58","6.37M","5.81%"
"07/01/2020","40.27","39.84","42.40","38.54","6.79M","2.55%"
"06/01/2020","39.27","35.21","41.63","34.27","7.64M","10.65%"
"05/01/2020","35.49","19.04","35.77","18.05","5.91M","88.38%"
"04/01/2020","18.84","20.10","29.13","-40.32","14.56M","-8.01%"
"03/01/2020","20.48","43.70","48.66","19.27","16.68M","-54.24%"
"02/01/2020","44.76","51.01","54.50","43.85","13.33M","-13.19%"
"01/01/2020","51.56","61.60","65.65","50.97","12.54M","-15.56%"
"12/01/2019","61.06","55.47","62.34","55.35","9.27M","10.68%"
"11/01/2019","55.17","54.15","58.74","54.07","9.47M","1.83%"
"10/01/2019","54.18","54.28","56.92","50.99","11.55M","0.20%"
"09/01/2019","54.07","55.00","63.38","52.84","13.08M","-1.87%"
"08/01/2019","55.10","57.85","57.99","50.52","14.04M","-5.94%"
"07/01/2019","58.58","59.27","60.94","54.72","11.80M","0.19%"
"06/01/2019","58.47","53.42","59.93","50.60","12.46M","9.29%"
"05/01/2019","53.50","63.40","63.93","53.05","16.25M","-16.29%"
"04/01/2019","63.91","60.24","66.60","60.13","13.33M","6.27%"
"03/01/2019","60.14","57.22","60.73","54.52","11.96M","5.10%"
"02/01/2019","57.22","54.01","57.81","51.23","10.55M","6.38%"
"01/01/2019","53.79","45.80","55.37","44.35","14.02M","18.45%"
"12/01/2018","45.41","52.45","54.55","42.36","12.16M","-10.84%"
"11/01/2018","50.93","64.88","65.39","49.41","15.12M","-22.02%"
"10/01/2018","65.31","73.29","76.90","64.81","13.04M","-10.84%"
"09/01/2018","73.25","69.89","73.73","66.86","10.09M","4.94%"
"08/01/2018","69.80","68.43","70.50","64.43","10.42M","1.51%"
"07/01/2018","68.76","73.62","75.27","67.03","10.91M","-7.27%"
"06/01/2018","74.15","67.07","74.46","63.59","12.86M","10.61%"
"05/01/2018","67.04","68.56","72.83","65.80","15.04M","-2.23%"
"04/01/2018","68.57","64.91","69.56","61.81","12.71M","5.59%"
"03/01/2018","64.94","61.55","66.55","59.95","12.38M","5.35%"
"02/01/2018","61.64","64.76","66.30","58.07","11.99M","-4.77%"
"01/01/2018","64.73","60.20","66.66","60.10","12.77M","7.13%"
"12/01/2017","60.42","57.42","60.51","55.82","9.49M","5.26%"
"11/01/2017","57.40","54.65","59.05","53.89","12.53M","5.55%"
"10/01/2017","54.38","51.64","54.85","49.10","11.95M","5.24%"
"09/01/2017","51.67","47.08","52.86","46.56","12.24M","9.40%"
"08/01/2017","47.23","50.21","50.43","45.58","17.17M","-5.86%"
"07/01/2017","50.17","46.28","50.41","43.65","14.57M","8.97%"
"06/01/2017","46.04","48.63","49.17","42.05","15.23M","-4.72%"
"05/01/2017","48.32","49.17","52.00","43.76","14.25M","-2.05%"
"04/01/2017","49.33","50.69","53.76","48.20","9.72M","-2.51%"
"03/01/2017","50.60","53.95","54.44","47.01","12.60M","-6.31%"
"02/01/2017","54.01","52.76","54.94","51.22","9.09M","2.27%"
"01/01/2017","52.81","54.20","55.24","50.71","10.11M","-1.69%"
"12/01/2016","53.72","49.07","54.51","48.98","10.64M","8.66%"
"11/01/2016","49.44","46.77","49.90","42.20","13.50M","5.51%"
"10/01/2016","46.86","48.04","51.93","46.63","10.82M","-2.86%"
"09/01/2016","48.24","44.85","48.32","42.55","12.37M","7.92%"
"08/01/2016","44.70","41.35","48.75","39.19","11.59M","7.45%"
"07/01/2016","41.60","48.38","49.35","40.57","9.34M","-13.93%"
"06/01/2016","48.33","48.82","51.67","45.83","10.42M","-1.57%"
"05/01/2016","49.10","45.90","50.21","43.03","11.20M","6.93%"
"04/01/2016","45.92","38.14","46.78","35.24","11.62M","19.77%"
"03/01/2016","38.34","33.90","41.90","33.37","10.88M","13.60%"
"02/01/2016","33.75","33.83","34.69","26.05","11.47M","0.39%"
"01/01/2016","33.62","37.60","38.39","26.19","10.39M","-9.23%"
"12/01/2015","37.04","41.73","42.23","33.98","8.70M","-11.07%"
"11/01/2015","41.65","46.43","48.36","38.99","7.88M","-10.60%"
"10/01/2015","46.59","45.38","50.92","42.58","8.31M","3.33%"
"09/01/2015","45.09","48.10","48.87","43.21","7.97M","-8.35%"
"08/01/2015","49.20","46.86","49.33","37.75","8.24M","4.41%"
"07/01/2015","47.12","58.98","58.98","46.68","7.17M","-20.77%"
"06/01/2015","59.47","60.29","61.82","56.83","6.54M","-1.38%"
"05/01/2015","60.30","59.79","62.58","56.51","6.34M","1.12%"
"04/01/2015","59.63","47.55","59.85","47.05","7.63M","25.27%"
"03/01/2015","47.60","49.45","52.48","42.03","7.69M","-4.34%"
"02/01/2015","49.76","47.59","54.24","46.67","8.46M","3.15%"
"01/01/2015","48.24","53.76","55.11","43.58","7.31M","-9.44%"
"12/01/2014","53.27","66.00","69.54","52.44","6.56M","-19.47%"
"11/01/2014","66.15","80.59","80.98","65.69","5.85M","-17.87%"
"10/01/2014","80.54","91.36","92.96","79.44","7.17M","-11.65%"
"09/01/2014","91.16","95.81","95.91","90.43","5.56M","-5.00%"
"08/01/2014","95.96","97.70","98.67","92.50","4.59M","-2.25%"
"07/01/2014","98.17","105.44","106.09","97.60","5.14M","-6.83%"
"06/01/2014","105.37","102.92","107.73","101.60","4.12M","2.59%"
"05/01/2014","102.71","99.72","104.50","98.74","4.38M","2.98%"
"04/01/2014","99.74","101.53","104.99","98.86","4.71M","-1.81%"
"03/01/2014","101.58","103.00","105.22","97.37","4.59M","-0.98%"
"02/01/2014","102.59","97.40","103.80","96.26","3.93M","5.23%"
"01/01/2014","97.49","98.50","98.97","91.24","4.49M","-0.94%"
"12/01/2013","98.42","92.71","100.75","92.56","3.66M","6.15%"
"11/01/2013","92.72","96.32","96.65","91.77","4.51M","-3.80%"
"10/01/2013","96.38","102.31","104.38","95.95","5.14M","-5.81%"
"09/01/2013","102.33","107.07","110.70","101.05","4.58M","-4.94%"
"08/01/2013","107.65","105.26","112.24","102.22","5.30M","2.49%"
"07/01/2013","105.03","96.58","109.32","96.07","5.38M","8.77%"
"06/01/2013","96.56","91.73","99.01","91.26","4.92M","4.99%"
"05/01/2013","91.97","93.08","97.17","90.11","5.87M","-1.59%"
"04/01/2013","93.46","97.36","97.80","85.61","5.43M","-3.88%"
"03/01/2013","97.23","91.76","97.35","89.33","4.03M","5.63%"
"02/01/2013","92.05","97.42","98.15","91.57","4.12M","-5.58%"
"01/01/2013","97.49","91.78","98.24","91.52","4.38M","6.18%"
"12/01/2012","91.82","88.85","91.99","85.21","3.59M","3.27%"
"11/01/2012","88.91","86.10","89.80","84.05","5.17M","3.10%"
"10/01/2012","86.24","92.15","93.66","84.66","5.24M","-6.45%"
"09/01/2012","92.19","96.38","100.42","88.95","4.34M","-4.44%"
"08/01/2012","96.47","88.03","98.29","86.92","5.08M","9.55%"
"07/01/2012","88.06","84.65","92.94","82.10","5.27M","3.65%"
"06/01/2012","84.96","86.44","87.03","77.28","5.95M","-1.81%"
"05/01/2012","86.53","104.89","106.43","85.86","5.81M","-17.49%"
"04/01/2012","104.87","103.27","105.49","100.68","4.48M","1.80%"
"03/01/2012","103.02","106.82","110.55","102.13","5.74M","-3.78%"
"02/01/2012","107.07","98.38","109.95","95.44","5.54M","8.72%"
"01/01/2012","98.48","99.70","103.74","97.40","5.41M","-0.35%"
"12/01/2011","98.83","100.51","102.44","92.52","4.70M","-1.52%"
"11/01/2011","100.36","92.58","103.37","89.17","6.24M","7.69%"
"10/01/2011","93.19","78.92","94.65","74.95","6.57M","17.66%"
"09/01/2011","79.20","88.73","90.52","77.11","6.45M","-10.82%"
"08/01/2011","88.81","96.20","98.60","75.71","8.28M","-7.20%"
"07/01/2011","95.70","95.12","100.62","93.45","5.45M","0.29%"
"06/01/2011","95.42","102.68","103.31","89.61","7.33M","-7.09%"
"05/01/2011","102.70","113.89","114.83","94.63","7.60M","-9.86%"
"04/01/2011","113.93","106.62","114.18","105.31","5.62M","6.76%"
"03/01/2011","106.72","96.97","106.95","96.22","6.87M","10.05%"
"02/01/2011","96.97","92.20","103.41","83.85","6.10M","5.18%"
"01/01/2011","92.19","91.31","92.84","85.11","6.93M","0.89%"
"12/01/2010","91.38","83.66","92.06","83.63","5.43M","8.64%"
"11/01/2010","84.11","81.45","88.63","80.06","6.76M","3.29%"
"10/01/2010","81.43","79.84","84.43","79.25","6.45M","1.83%"
"09/01/2010","79.97","71.70","80.18","71.67","6.82M","11.19%"
"08/01/2010","71.92","78.95","82.97","70.76","6.81M","-8.90%"
"07/01/2010","78.95","75.37","79.69","71.09","6.21M","4.39%"
"06/01/2010","75.63","73.97","79.38","69.51","7.26M","2.24%"
"05/01/2010","73.97","86.20","87.15","64.24","7.89M","-14.14%"
"04/01/2010","86.15","83.36","87.09","80.53","7.25M","2.85%"
"03/01/2010","83.76","79.84","83.85","78.06","6.52M","5.15%"
"02/01/2010","79.66","72.84","80.51","69.50","6.57M","9.29%"
"01/01/2010","72.89","79.63","83.95","72.43","5.38M","-8.15%"
"12/01/2009","79.36","77.35","80.00","68.59","5.66M","2.69%"
"11/01/2009","77.28","77.02","81.06","72.39","6.45M","0.36%"
"10/01/2009","77.00","70.40","82.00","68.05","6.92M","9.05%"
"09/01/2009","70.61","69.85","73.16","65.05","5.75M","0.93%"
"08/01/2009","69.96","69.30","75.00","65.23","5.72M","0.73%"
"07/01/2009","69.45","70.45","71.85","58.32","5.91M","-0.63%"
"06/01/2009","69.89","66.48","73.38","64.95","5.60M","5.40%"
"05/01/2009","66.31","50.95","66.64","50.43","5.04M","29.71%"
"04/01/2009","51.12","48.96","53.90","43.83","4.69M","2.94%"
"03/01/2009","49.66","44.34","54.66","39.44","5.17M","10.95%"
"02/01/2009","44.76","41.75","45.30","33.55","4.86M","7.39%"
"01/01/2009","41.68","43.72","50.47","32.70","5.13M","-6.55%"
"12/01/2008","44.60","54.62","54.62","32.40","4.47M","-18.06%"
"11/01/2008","54.43","67.37","71.77","48.25","4.52M","-19.73%"
"10/01/2008","67.81","101.86","102.84","61.30","5.69M","-32.62%"
"09/01/2008","100.64","116.65","130.00","90.51","5.66M","-12.84%"
"08/01/2008","115.46","124.06","128.60","111.34","5.46M","-6.95%"
"07/01/2008","124.08","140.18","147.27","120.42","5.83M","-11.37%"
"06/01/2008","140.00","127.63","143.67","121.61","6.23M","9.93%"
"05/01/2008","127.35","114.60","135.09","110.30","6.80M","12.24%"
"04/01/2008","113.46","101.57","119.93","99.55","5.63M","11.70%"
"03/01/2008","101.58","101.63","111.80","98.65","5.99M","-0.26%"
"02/01/2008","101.84","91.36","103.05","86.24","5.14M","11.00%"
"01/01/2008","91.75","96.05","100.09","86.11","5.46M","-4.41%"
"12/01/2007","95.98","88.79","97.92","85.82","4.25M","8.20%"
"11/01/2007","88.71","95.15","99.29","88.45","6.16M","-6.16%"
"10/01/2007","94.53","81.75","95.28","78.35","6.02M","15.76%"
"09/01/2007","81.66","73.90","83.90","73.48","4.78M","10.29%"
"08/01/2007","74.04","77.94","78.77","68.63","4.98M","-5.33%"
"07/01/2007","78.21","70.52","78.28","69.57","4.25M","10.65%"
"06/01/2007","70.68","64.23","71.06","63.80","4.42M","10.42%"
"05/01/2007","64.01","65.66","66.38","60.68","4.71M","-2.59%"
"04/01/2007","65.71","66.03","66.70","61.34","4.11M","-0.24%"
"03/01/2007","65.87","61.82","68.09","56.10","4.75M","6.60%"
"02/01/2007","61.79","57.89","62.25","56.62","4.78M","6.28%"
"01/01/2007","58.14","60.95","60.97","49.90","4.94M","-4.77%"
"12/01/2006","61.05","62.85","64.15","59.90","3.22M","-3.29%"
"11/01/2006","63.13","58.60","63.77","54.86","3.70M","7.49%"
"10/01/2006","58.73","62.80","63.32","56.55","3.33M","-6.64%"
"09/01/2006","62.91","70.29","70.66","59.52","2.40M","-10.46%"
"08/01/2006","70.26","74.40","77.45","68.65","2.05M","-5.56%"
"07/01/2006","74.40","73.95","78.40","71.65","1.82M","0.64%"
"06/01/2006","73.93","71.26","74.15","68.10","2.28M","3.70%"
"05/01/2006","71.29","71.70","74.99","67.42","2.46M","-0.82%"
"04/01/2006","71.88","66.25","75.35","65.60","2.07M","7.88%"
"03/01/2006","66.63","61.58","67.30","59.25","2.30M","8.50%"
"02/01/2006","61.41","67.80","69.00","57.55","2.26M","-9.58%"
"01/01/2006","67.92","61.04","69.20","60.81","2.15M","11.27%"
"12/01/2005","61.04","57.40","61.90","56.90","1.84M","6.49%"
"11/01/2005","57.32","59.76","62.15","55.40","1.90M","-4.08%"
"10/01/2005","59.76","66.20","66.62","59.15","1.93M","-9.78%"
"09/01/2005","66.24","68.75","69.66","62.55","2.17M","-3.92%"
"08/01/2005","68.94","60.51","70.85","60.51","2.43M","13.82%"
"07/01/2005","60.57","56.56","62.10","56.10","1.97M","7.20%"
"06/01/2005","56.50","51.95","60.95","51.93","2.18M","8.72%"
"05/01/2005","51.97","49.28","53.10","46.20","2.06M","4.53%"
"04/01/2005","49.72","55.25","58.28","49.50","2.10M","-10.25%"
"03/01/2005","55.40","51.77","57.60","50.65","2.12M","7.05%"
"02/01/2005","51.75","48.21","52.28","44.60","1.59M","7.37%"
"01/01/2005","48.20","43.10","49.75","41.25","1.84M","10.93%"
"12/01/2004","43.45","49.07","49.12","40.25","1.85M","-11.56%"
"11/01/2004","49.13","51.82","52.50","45.25","1.81M","-5.08%"
"10/01/2004","51.76","49.64","55.67","49.20","2.08M","4.27%"
"09/01/2004","49.64","42.11","50.47","42.11","2.04M","17.85%"
"08/01/2004","42.12","43.69","49.40","41.30","2.23M","-3.84%"
"07/01/2004","43.80","37.05","43.85","36.69","1.75M","18.22%"
"06/01/2004","37.05","40.40","42.45","35.52","1.95M","-7.10%"
"05/01/2004","39.88","37.39","41.85","37.25","1.89M","6.69%"
"04/01/2004","37.38","35.82","38.30","33.30","1.97M","4.53%"
"03/01/2004","35.76","36.16","38.50","34.75","2.00M","-1.11%"
"02/01/2004","36.16","33.20","36.23","32.20","1.64M","9.41%"
"01/01/2004","33.05","32.40","36.37","32.27","1.83M","1.63%"
"12/01/2003","32.52","30.26","33.93","29.66","1.55M","6.94%"
"11/01/2003","30.41","29.13","33.55","28.47","1.57M","4.47%"
"10/01/2003","29.11","29.15","32.60","28.26","1.73M","-0.31%"
"09/01/2003","29.20","31.28","31.40","26.65","1.65M","-7.51%"
"08/01/2003","31.57","30.58","32.85","30.10","1.66M","3.37%"
"07/01/2003","30.54","30.12","32.10","29.17","1.53M","1.16%"
"06/01/2003","30.19","29.49","32.50","28.53","1.53M","2.13%"
"05/01/2003","29.56","25.95","29.65","25.42","1.63M","14.57%"
"04/01/2003","25.80","31.16","31.32","25.04","1.48M","-16.88%"
"03/01/2003","31.04","36.45","38.20","26.30","1.58M","-15.19%"
"02/01/2003","36.60","33.33","39.99","32.55","1.71M","9.22%"
"01/01/2003","33.51","31.60","35.20","29.75","1.89M","7.40%"
"12/01/2002","31.20","26.90","33.65","26.57","1.63M","16.03%"
"11/01/2002","26.89","27.20","27.56","24.82","1.56M","-1.21%"
"10/01/2002","27.22","30.45","31.18","26.53","1.87M","-10.61%"
"09/01/2002","30.45","29.00","31.39","27.62","1.48M","5.07%"
"08/01/2002","28.98","27.00","30.32","26.00","1.77M","7.25%"
"07/01/2002","27.02","26.89","28.10","25.73","1.59M","0.60%"
"06/01/2002","26.86","25.26","27.05","23.80","1.52M","6.12%"
"05/01/2002","25.31","27.25","29.54","24.40","1.88M","-7.26%"
"04/01/2002","27.29","26.46","28.35","23.31","1.80M","3.72%"
"03/01/2002","26.31","21.80","26.38","21.62","1.57M","21.02%"
"02/01/2002","21.74","19.47","21.85","19.09","1.46M","11.60%"
"01/01/2002","19.48","19.90","22.00","17.85","1.53M","-1.81%"
"12/01/2001","19.84","19.40","21.50","17.80","1.20M","2.06%"
"11/01/2001","19.44","21.26","22.62","16.70","1.54M","-8.22%"
"10/01/2001","21.18","23.50","23.98","20.80","1.36M","-9.60%"
"09/01/2001","23.43","27.17","29.98","20.30","1.20M","-13.86%"
"08/01/2001","27.20","26.35","28.42","26.28","1.48M","3.23%"
"07/01/2001","26.35","26.31","28.29","24.54","1.39M","0.38%"
"06/01/2001","26.25","28.48","29.63","25.10","1.50M","-7.47%"
"05/01/2001","28.37","28.43","30.20","27.05","1.29M","-0.32%"
"04/01/2001","28.46","26.35","29.04","25.49","1.26M","8.25%"
"03/01/2001","26.29","27.41","29.15","25.70","1.47M","-4.02%"
"02/01/2001","27.39","28.70","31.87","27.36","1.34M","-4.43%"
"01/01/2001","28.66","26.90","32.70","26.65","1.37M","6.94%"
"12/01/2000","26.80","33.76","34.15","25.58","1.22M","-20.76%"
"11/01/2000","33.82","32.69","35.84","32.10","1.29M","3.43%"
"10/01/2000","32.70","30.97","37.00","30.19","1.42M","6.03%"
"09/01/2000","30.84","33.00","37.80","30.20","1.59M","-6.88%"
"08/01/2000","33.12","27.36","33.70","27.26","1.44M","20.74%"
"07/01/2000","27.43","31.15","32.35","27.35","1.30M","-15.60%"
"06/01/2000","32.50","29.00","33.40","28.87","1.48M","12.03%"
"05/01/2000","29.01","25.55","30.82","25.52","1.30M","12.70%"
"04/01/2000","25.74","26.85","27.50","23.70","1.13M","-4.31%"
"03/01/2000","26.90","30.49","34.37","26.05","1.48M","-11.60%"
"02/01/2000","30.43","27.60","30.83","27.41","1.33M","10.09%"